D,m,k,h,i,Cd,U (to predict)
0.0064,43,0.038,0.082,0.01019,1.4,1.05
0.0064,43,0.038,0.089,0.00884,1.4,0.97
0.0064,54,0.038,0.095,0.00796,1.4,0.91
0.0064,65,0.038,0.085,0.01024,1.4,1.01
0.0064,65,0.038,0.099,0.00775,1.4,0.87
0.0064,65,0.038,0.1,0.00803,1.4,0.87
0.0064,86,0.038,0.101,0.0088,1.4,0.86
0.0064,108,0.038,0.107,0.00845,1.4,0.8
0.0064,108,0.038,0.107,0.0086,1.4,0.81
0.0064,108,0.038,0.106,0.00833,1.4,0.82
0.0064,108,0.038,0.108,0.00862,1.4,0.8
0.001,10000,0.041,0.073,0.00108,1,0.096
0.001,10000,0.041,0.0631,0.00164,1,0.112
0.001,10000,0.041,0.0948,0.001,1,0.128
0.001,10000,0.041,0.095,0.00256,1,0.221
0.001,10000,0.041,0.0841,0.00435,1,0.233
0.001,10000,0.041,0.1052,0.00476,1,0.305
0.0015,2500,0.046,0.0749,0.00142,1,0.117
0.0015,2500,0.046,0.0895,0.00886,1,0.331
0.0127,481,0.124,0.155,0.00055,1.11,0.035
0.0127,481,0.124,0.206,0.00045,1.11,0.037
0.0127,481,0.124,0.153,0.00059,1.11,0.038
0.0127,481,0.124,0.155,0.00091,1.11,0.047
0.0127,481,0.124,0.207,0.00063,1.11,0.055
0.0127,481,0.124,0.155,0.00144,1.11,0.059
0.0127,481,0.124,0.206,0.00059,1.11,0.063
0.0127,481,0.124,0.155,0.00159,1.11,0.065
0.0127,481,0.124,0.209,0.00054,1.11,0.074
0.0127,481,0.124,0.207,0.00081,1.11,0.078
0.0127,481,0.124,0.205,0.00094,1.11,0.08
0.0127,481,0.124,0.151,0.00232,1.11,0.081
0.0127,481,0.124,0.311,0.00036,1.11,0.081
0.0127,481,0.124,0.155,0.00334,1.11,0.087
0.0127,481,0.124,0.205,0.00198,1.11,0.126
0.0127,481,0.124,0.155,0.00761,1.11,0.146
0.0127,481,0.124,0.313,0.00093,1.11,0.151
0.0127,481,0.124,0.206,0.00445,1.11,0.186
0.0127,481,0.124,0.308,0.00188,1.11,0.195
0.0127,481,0.124,0.207,0.00742,1.11,0.238
0.0127,481,0.124,0.155,0.01668,1.11,0.253
0.0127,481,0.124,0.207,0.01207,1.11,0.294
0.0127,481,0.124,0.155,0.03165,1.11,0.354
0.0127,481,0.124,0.155,0.04402,1.11,0.433
0.0127,173,0.124,0.207,0.00057,1,0.041
0.0127,173,0.124,0.207,0.00023,1,0.046
0.0127,173,0.124,0.155,0.00035,1,0.062
0.0127,173,0.124,0.207,0.00027,1,0.063
0.0127,173,0.124,0.207,0.00036,1,0.071
